userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70110560,202101,12,0.79,2021-01-22,3,4,1.00,6.00,6.00,5.00,10.00,10.00,1.33,10.00,2.00,0.00,10.00,10.00,1.33,10.00,2.00,0.00,,1,1.00,0.00,1.00,2.00,0,,,,,,5.00,3.00,0.00,0.00,2.00,2.00,1.00,3.00,0.00,0.00,,,,,,,,,,,,,,,54.00,1.00,0.00,0.00,4.00,,,5.00,0,0.00,1.00,1.00,11.00,95.90
70110560,202102,13,0.81,2021-02-22,4,4,1.00,7.00,5.00,8.00,10.00,10.00,1.33,10.00,2.00,0.00,10.00,10.00,1.33,10.00,2.00,0.00,,1,1.00,0.00,1.00,1.00,0,,,,,,3.00,10.00,4.00,4.00,2.00,2.00,1.00,10.00,10.00,15.00,,,,,,,,,,,,,,,54.00,1.00,0.00,0.00,4.00,,,5.00,0,0.00,1.00,1.00,11.00,95.90
70110614,202101,12,0.55,2021-01-19,3,2,5.00,50.00,6.00,13.00,4.00,3.99,9.24,3.26,3.88,0.00,5.00,3.07,14.66,2.18,4.97,23.15,,0,,,,,0,,,,4.00,5.00,,0.00,5.00,6.00,3.00,4.00,2.00,5.00,5.00,10.00,,,,,,,,,,,,,,,63.00,1.00,0.00,0.00,4.00,,,2.00,0,0.00,,1.00,8.00,54.10
70110614,202102,13,0.55,2021-02-25,3,2,4.00,74.00,7.00,27.00,5.00,3.36,14.54,2.53,5.00,19.43,7.00,6.17,16.85,5.36,5.50,0.00,,0,,,,,0,,,,7.00,7.00,,1.00,-1.00,5.00,3.00,3.00,5.00,6.00,7.00,12.00,,,,,,,,,,,,,,,63.00,1.00,0.00,0.00,4.00,,,2.00,0,0.00,,1.00,8.00,54.10
70110668,202101,14,0.82,2021-01-11,3,3,0.00,10.00,2.00,5.00,10.00,4.46,37.81,5.38,9.67,25.04,10.00,4.66,69.25,6.77,11.29,25.02,,0,,,,,0,,,,0.00,0.00,,2.00,10.00,8.00,3.00,3.00,0.00,8.00,10.00,8.00,,,,,,,,,,,,,,,75.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,,0.00,2.00,7.60
70110668,202102,15,0.88,2021-02-01,3,3,0.00,10.00,2.00,5.00,8.00,5.12,19.24,5.08,6.34,13.17,20.00,4.09,24.92,4.38,7.38,22.08,,0,,,,,0,,,,0.00,0.00,,2.00,10.00,2.00,3.00,3.00,0.00,5.00,15.00,10.00,,,,,,,,,,,,,,,75.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,,0.00,2.00,7.60
70110727,202101,14,0.99,2021-01-12,2,2,100.00,4.00,10.00,20.00,3.00,3.00,0.33,3.00,1.00,0.00,-2.00,1.00,0.33,1.00,1.00,0.00,,1,1.00,0.00,0.00,50.00,0,,,,,,2.00,2.00,-25.00,2.00,2.00,2.00,0.00,6.00,3.00,25.00,,,,,,,,,,,,,,,57.00,1.00,0.00,0.00,3.00,,,2.00,1,0.00,1.00,0.00,5.00,27.70
70110727,202102,15,0.93,2021-02-04,3,4,100.00,5.00,2.00,80.00,3.00,3.00,0.33,3.00,1.00,0.00,3.00,3.00,0.33,3.00,1.00,0.00,,1,1.00,0.00,1.00,70.00,0,,,,,,2.00,-60.00,-15.00,6.00,3.00,3.00,1.00,8.00,9.00,35.00,,,,,,,,,,,,,,,57.00,1.00,0.00,0.00,3.00,,,2.00,1,0.00,1.00,0.00,6.00,34.60
70110754,202101,14,0.43,2021-01-19,3,3,3.00,15.00,14.00,53.00,1.00,2.00,0.67,2.00,1.17,0.00,2.00,2.00,0.67,2.00,1.17,0.00,,1,1.00,0.00,13.00,2.00,0,,,,,,2.00,2.00,1.00,1.00,3.00,3.00,4.00,1.00,2.00,-50.00,,,,,,,,,,,,,,,38.00,1.00,0.00,0.00,4.00,,,2.00,0,3.00,1.00,1.00,9.00,69.20
70110754,202102,15,0.44,2021-02-01,4,3,3.00,20.00,50.00,69.00,2.00,1.00,0.33,1.00,1.00,0.00,2.00,1.00,0.33,1.00,1.00,0.00,,1,1.00,0.00,4.00,4.00,0,,,,,,2.00,2.00,1.00,1.00,3.00,3.00,2.00,2.00,2.00,-45.00,,,,,,,,,,,,,,,38.00,1.00,0.00,0.00,4.00,,,2.00,0,3.00,1.00,1.00,9.00,69.20
70110763,202101,14,1.87,2021-01-26,3,3,0.00,30.00,60.00,60.00,5.00,5.87,4.84,6.22,3.47,0.00,6.00,6.00,4.04,6.03,3.29,0.00,,1,1.00,0.00,10.00,10.00,0,,,,,,6.00,5.00,2.00,3.00,2.00,2.00,0.00,4.00,6.00,2.00,,,,,,,,,,,,,,,42.00,1.00,0.00,0.00,3.00,,,2.00,0,0.00,1.00,1.00,9.00,69.20
70110763,202102,15,1.67,2021-02-02,3,3,0.00,10.00,5.00,40.00,5.00,6.07,2.94,6.28,2.78,0.00,7.00,7.25,9.62,6.70,4.14,0.00,,1,1.00,0.00,10.00,10.00,0,,,,,,4.00,4.00,10.00,2.00,3.00,3.00,0.00,5.00,6.00,2.00,,,,,,,,,,,,,,,42.00,1.00,0.00,0.00,3.00,,,2.00,0,0.00,1.00,1.00,9.00,69.20
