userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70103231,202001,12,0.82,2020-01-23,4,3,20.00,62.00,26.00,44.00,2.50,2.23,3.16,2.75,2.07,10.96,1.50,1.86,2.91,1.69,2.29,12.88,,1,1.00,0.00,20.00,35.00,0,,,,,,5.00,5.00,3.00,2.00,3.00,2.00,0.00,1.50,0.30,3.00,,,,,,,,,,,,,,,43.00,0.00,0.00,0.00,4.00,,,5.00,0,1.00,1.00,1.00,11.00,94.90
70103252,202001,11,2.88,2020-01-02,3,2,1.00,30.00,1.00,10.00,25.00,8.56,46.25,6.93,9.55,0.00,20.00,6.65,31.00,5.19,7.43,0.00,,1,1.00,1.00,,,0,,,,,,10.00,10.00,25.00,10.00,2.00,2.00,10.00,10.00,10.00,20.00,,,,,,,,,,,,,,,56.00,1.00,0.00,0.00,2.00,,,4.00,0,0.00,,0.00,3.00,14.50
70103258,202001,12,0.55,2020-01-07,4,4,0.00,3.00,4.00,18.00,3.00,2.35,4.70,2.99,2.53,13.13,6.00,5.65,7.61,6.46,3.26,4.85,,0,,,,,0,,,,,,,5.00,4.00,4.00,4.00,4.00,0.00,14.00,16.00,20.00,,,,,,,,,,,,,,,76.00,0.00,0.00,0.00,4.00,,,5.00,0,0.00,,1.00,8.00,55.70
70103285,202001,12,0.48,2020-01-27,4,4,10.00,10.00,10.00,10.00,2.00,0.00,25.05,-0.00,6.83,50.00,2.00,0.00,25.05,-0.00,6.83,50.00,,0,,,,,1,40.00,40.00,20.00,,,,3.00,3.00,-1.00,3.00,3.00,10.00,-1.00,-1.00,3.00,,,,,,,,,,,,,,,33.00,1.00,0.00,0.00,4.00,,,2.00,0,5.00,,1.00,7.00,44.20
70103342,202001,11,0.48,2020-01-21,3,3,65.00,50.00,30.00,50.00,2.00,1.72,1.48,1.83,1.83,10.00,-1.00,0.00,0.67,0.00,1.17,50.00,,1,1.00,0.00,10.00,20.00,0,,,,,,1.00,4.00,1.00,4.00,3.00,3.00,0.00,5.00,8.00,30.00,,,,,,,,,,,,,,,37.00,1.00,0.00,0.00,4.00,,,4.00,0,0.00,1.00,0.00,5.00,28.90
70103391,202001,8,0.55,2020-01-30,4,3,2.00,20.00,46.00,59.00,2.00,3.27,2.73,3.19,2.31,1.33,4.00,3.63,0.88,3.83,1.35,0.00,,1,1.00,0.00,7.00,30.00,0,,,,,,3.00,3.00,2.00,2.00,4.00,4.00,6.00,6.00,3.00,8.50,,,,,,,,,,,,,,,60.00,0.00,0.00,0.00,4.00,,,6.00,0,0.00,1.00,1.00,8.00,55.70
70103407,202001,10,0.40,2020-01-02,3,3,5.00,39.00,30.00,30.00,2.00,2.51,31.67,2.18,7.81,35.06,2.00,0.15,44.29,0.19,9.17,48.90,,0,,,,,0,,,,20.00,25.00,,1.60,5.00,2.00,2.00,3.00,20.00,2.00,3.00,5.00,,,,,,,,,,,,,,,68.00,0.00,0.00,0.00,4.00,,,2.00,0,0.00,,1.00,7.00,44.20
70103430,202001,12,1.11,2020-01-15,4,3,5.00,65.00,30.00,50.00,1.00,1.52,1.13,1.46,1.47,6.96,1.50,1.65,1.45,1.59,1.68,7.92,,0,,,,,0,,,,30.00,10.00,,4.00,3.00,5.00,3.00,3.00,2.00,6.00,5.00,7.00,,,,,,,,,,,,,,,48.00,0.00,0.00,0.00,3.00,,,5.00,0,0.00,,0.00,3.00,14.50
70103477,202001,11,0.88,2020-01-15,3,3,0.00,60.00,30.00,50.00,2.00,2.00,0.67,2.00,1.17,0.00,2.00,-1.00,0.33,-1.00,1.00,100.00,,1,1.00,0.00,20.00,40.00,0,,,,,,2.00,2.00,3.00,5.00,3.00,3.00,0.00,3.00,2.00,5.00,,,,,,,,,,,,,,,52.00,1.00,0.00,0.00,3.00,,,5.00,0,0.00,1.00,1.00,9.00,70.70
70103535,202001,11,0.37,2020-01-30,4,4,5.00,20.00,15.00,40.00,2.00,2.00,0.67,2.00,1.17,0.00,2.00,2.00,0.67,2.00,1.17,0.00,,1,1.00,1.00,,,0,,,,,,5.00,5.00,-5.00,3.00,3.00,3.00,0.00,3.00,2.00,1.00,,,,,,,,,,,,,,,63.00,0.00,0.00,0.00,4.00,,,2.00,0,0.00,,0.00,5.00,28.90
