userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
75001409,202201,5,0.65,2022-01-03,3,3,17.00,18.00,21.00,22.00,2.00,-1.00,0.33,-1.00,1.00,100.00,2.00,-1.00,0.33,-1.00,1.00,100.00,2.00,1,1.00,0.00,9.00,27.00,0,,,,,,5.00,2.00,10.00,10.00,3.00,3.00,40.00,,-2.00,2.00,,,,,,,,,,,,,,,29.00,1.00,1.00,0.00,4.00,,,4.00,0,1.00,1.00,0.00,8.00,53.70
75001409,202202,6,0.65,2022-02-16,3,3,17.00,7.00,13.00,18.00,2.00,2.00,0.67,2.00,1.17,0.00,2.00,3.00,0.33,3.00,1.00,0.00,2.00,1,1.00,0.00,10.00,5.00,0,,,,,,5.00,10.00,2.00,10.00,3.00,3.00,12.00,2.00,2.00,2.00,,,,,,,,,,,,,,,29.00,1.00,1.00,0.00,4.00,,,4.00,0,1.00,1.00,0.00,9.00,68.80
75001409,202203,7,0.61,2022-03-01,3,3,16.00,27.00,25.00,24.00,2.00,1.00,0.33,1.00,1.00,0.00,3.00,3.00,0.33,3.00,1.00,0.00,2.00,1,1.00,0.00,21.00,18.00,0,,,,,,2.00,2.00,2.00,2.00,3.00,3.00,23.00,-10.00,-3.00,2.00,,,,,,,,,,,,,,,29.00,1.00,1.00,0.00,4.00,,,4.00,0,1.00,1.00,0.00,9.00,68.80
75001409,202204,8,0.69,2022-04-11,3,3,25.00,12.00,9.00,13.00,2.00,2.00,0.67,2.00,1.17,0.00,2.00,0.00,0.67,0.00,1.17,50.00,2.00,1,1.00,0.00,8.00,17.00,0,,,,,,10.00,2.00,2.00,2.00,3.00,3.00,9.00,2.00,2.00,100.00,,,,,,,,,,,,,,,29.00,1.00,1.00,0.00,4.00,,,4.00,0,1.00,1.00,0.00,9.00,68.80
75001409,202205,9,0.82,2022-05-24,3,2,15.00,14.00,12.00,7.00,2.00,1.00,0.33,1.00,1.00,0.00,2.00,1.00,0.33,1.00,1.00,0.00,2.00,1,1.00,0.00,9.00,9.00,0,,,,,,2.00,2.00,2.00,2.00,3.00,3.00,14.00,2.00,2.00,2.00,,,,,,,,,,,,,,,29.00,1.00,1.00,0.00,4.00,,,4.00,0,1.00,1.00,1.00,9.00,68.80
75001409,202206,10,0.71,2022-06-09,3,3,11.00,11.00,5.00,10.00,2.00,3.00,0.33,3.00,1.00,0.00,2.00,1.00,0.33,1.00,1.00,0.00,2.00,1,1.00,0.00,3.00,15.00,0,,,,,,10.00,19.00,15.00,2.00,3.00,3.00,6.00,10.00,10.00,2.00,,,,,,,,,,,,,,,29.00,1.00,1.00,0.00,4.00,,,4.00,0,1.00,1.00,0.00,8.00,53.70
75001409,202207,11,0.76,2022-07-02,3,3,51.00,33.00,44.00,32.00,2.00,1.00,0.33,1.00,1.00,0.00,2.00,1.00,0.33,1.00,1.00,0.00,2.00,1,1.00,0.00,6.00,30.00,0,,,,,,45.00,15.00,20.00,10.00,3.00,3.00,11.00,10.00,10.00,25.00,,,,,,,,,,,,,,,29.00,1.00,1.00,0.00,4.00,,,4.00,0,1.00,1.00,0.00,9.00,66.20
75001409,202208,12,0.78,2022-08-11,3,3,24.00,32.00,42.00,45.00,2.00,-1.00,0.33,-1.00,1.00,100.00,2.00,-1.00,0.33,-1.00,1.00,100.00,2.00,1,1.00,0.00,4.00,13.00,0,,,,,,20.00,20.00,2.00,20.00,3.00,3.00,36.00,20.00,29.00,20.00,,,,,,,,,,,,,,,29.00,1.00,1.00,0.00,4.00,,,4.00,0,1.00,1.00,0.00,9.00,66.20
75001410,202201,5,0.75,2022-01-17,4,4,15.00,30.00,65.00,60.00,3.00,2.35,5.73,2.23,3.42,17.57,-2.00,2.10,10.60,2.11,4.72,27.39,2.00,1,1.00,0.00,15.00,20.00,0,,,,,,3.00,5.00,10.00,4.00,3.00,3.00,0.00,3.00,1.00,10.00,,,,,,,,,,,,,,,29.00,1.00,0.00,0.00,4.00,,,4.00,0,0.00,1.00,1.00,9.00,68.80
75001410,202202,6,0.67,2022-02-04,4,3,10.00,30.00,50.00,60.00,2.00,2.54,3.51,2.39,2.64,7.72,2.00,2.18,3.66,2.10,2.68,13.02,2.00,1,1.00,0.00,20.00,25.00,0,,,,,,3.00,5.00,15.00,4.00,3.00,3.00,1.00,2.00,2.00,10.00,,,,,,,,,,,,,,,29.00,1.00,0.00,0.00,4.00,,,4.00,0,0.00,1.00,1.00,9.00,68.80
75001410,202203,7,0.66,2022-03-03,4,3,2.00,26.00,60.00,75.00,2.00,4.64,12.17,4.12,4.70,5.58,1.00,2.89,11.95,2.40,4.66,21.54,1.00,1,1.00,0.00,10.00,15.00,0,,,,,,3.00,3.00,10.00,1.00,3.00,3.00,0.00,5.00,-1.00,5.00,,,,,,,,,,,,,,,29.00,1.00,0.00,0.00,4.00,,,4.00,0,0.00,1.00,1.00,9.00,68.80
75001410,202204,8,0.65,2022-04-06,3,3,10.00,65.00,70.00,60.00,1.00,2.31,4.87,2.37,3.29,16.65,1.00,2.86,12.50,2.58,4.82,22.09,2.00,1,1.00,0.00,15.00,5.00,0,,,,,,0.00,0.00,6.00,1.00,3.00,3.00,1.00,2.00,1.00,5.00,,,,,,,,,,,,,,,29.00,1.00,0.00,0.00,4.00,,,4.00,0,0.00,1.00,1.00,9.00,68.80
75001410,202206,9,0.69,2022-06-26,2,3,20.00,65.00,50.00,65.00,5.00,5.17,10.18,4.78,4.32,2.04,2.00,2.86,21.99,2.56,6.46,28.97,-4.00,1,1.00,0.00,15.00,20.00,0,,,,,,2.00,10.00,20.00,3.00,2.00,3.00,0.00,-2.00,2.00,5.00,,,,,,,,,,,,,,,29.00,1.00,0.00,0.00,4.00,,,4.00,0,0.00,1.00,1.00,9.00,68.80
75001416,202201,5,1.01,2022-01-04,4,3,0.00,20.00,10.00,40.00,-6.00,-0.80,0.90,-0.84,1.32,79.65,-3.00,0.00,0.67,0.00,1.17,50.00,-3.00,1,1.00,0.00,0.00,1.00,0,,,,,,3.00,0.00,2.00,0.00,3.00,3.00,0.00,4.00,3.00,30.00,,,,,,,,,,,,,,,44.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,1.00,0.00,5.00,27.70
75001416,202202,6,0.99,2022-02-14,3,3,0.00,10.00,3.00,20.00,5.00,3.90,5.45,4.10,3.67,6.13,-3.00,2.14,6.24,1.92,4.02,24.41,5.00,1,1.00,0.00,0.00,0.00,0,,,,,,3.00,3.00,10.00,5.00,3.00,3.00,0.00,-20.00,-3.00,20.00,,,,,,,,,,,,,,,44.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,1.00,0.00,5.00,27.70
75001416,202203,7,0.98,2022-03-10,4,4,0.00,10.00,0.00,60.00,10.00,10.00,1.33,10.00,2.00,0.00,5.00,3.00,0.33,3.00,1.00,0.00,-10.00,1,1.00,0.00,0.00,0.00,0,,,,,,3.00,3.00,-20.00,10.00,3.00,3.00,0.00,10.00,10.00,20.00,,,,,,,,,,,,,,,44.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,1.00,0.00,5.00,27.70
75001416,202204,8,1.04,2022-04-16,4,3,0.00,5.00,10.00,25.00,12.00,20.31,47.36,21.14,11.16,0.00,-10.00,-3.29,5.23,-3.35,3.58,91.09,-5.00,1,1.00,0.00,0.00,10.00,0,,,,,,5.00,5.00,12.00,3.00,3.00,2.00,0.00,5.00,2.00,30.00,,,,,,,,,,,,,,,44.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,1.00,0.00,5.00,27.70
75001416,202205,9,0.88,2022-05-18,4,3,0.00,10.00,30.00,30.00,-3.00,-2.78,0.56,-2.79,1.02,99.99,-2.00,-2.78,0.55,-2.77,1.01,100.00,-10.00,1,1.00,0.00,0.00,0.00,0,,,,,,3.00,3.00,-2.00,3.00,3.00,3.00,0.00,-2.00,5.00,30.00,,,,,,,,,,,,,,,44.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,1.00,0.00,5.00,27.70
75001416,202206,10,0.88,2022-06-25,4,2,0.00,25.00,25.00,10.00,3.00,-3.55,0.40,-3.55,0.91,100.00,3.00,3.00,0.33,3.00,1.00,0.00,-5.00,1,1.00,0.00,0.00,0.00,0,,,,,,10.00,3.00,25.00,6.00,2.00,2.00,0.00,-6.00,-10.00,25.00,,,,,,,,,,,,,,,44.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,1.00,0.00,5.00,27.70
75001416,202207,11,0.99,2022-07-12,4,3,0.00,10.00,25.00,25.00,3.00,2.45,0.40,2.45,0.91,0.00,-3.00,1.00,0.33,1.00,1.00,0.00,-3.00,1,1.00,0.00,0.00,0.00,0,,,,,,3.00,0.00,5.00,0.00,2.00,2.00,0.00,-1.00,5.00,7.00,,,,,,,,,,,,,,,44.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,1.00,0.00,5.00,25.70
