userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70042242,201501,12,0.50,2015-01-30,4,4,2.00,38.00,50.00,51.00,8.00,10.22,0.82,10.22,1.30,0.00,5.00,6.56,1.97,6.58,2.39,0.00,,0,,,,,0,,,,3.00,4.00,,10.00,5.00,3.00,2.00,2.00,4.00,8.00,15.00,10.00,,,,,,,,,,,,,,,65.00,1.00,1.00,0.00,4.00,,,,0,2.00,,1.00,9.00,77.80
70042281,201501,11,0.78,2015-01-21,3,3,90.00,75.00,25.00,35.00,25.00,20.65,26.67,20.65,7.41,0.00,20.00,20.65,26.67,20.65,7.41,0.00,,1,3.00,0.00,10.00,90.00,0,,,,,,1.00,1.00,10.00,25.00,1.00,1.00,100.00,25.00,25.00,20.00,,,,,,,,,,,,,,,49.00,1.00,0.00,0.00,3.00,,,,0,2.00,1.00,1.00,4.00,27.80
70042385,201501,10,0.53,2015-01-10,3,3,50.00,50.00,80.00,50.00,10.00,25.00,56.33,25.00,13.00,0.00,10.00,25.00,56.33,25.00,13.00,0.00,,0,,,,,1,50.00,50.00,0.50,,,,0.00,15.00,20.00,2.00,3.00,0.00,2.00,2.00,5.00,,,,,,,,,,,,,,,47.00,1.00,0.00,0.00,4.00,,,,0,0.00,,1.00,7.00,53.10
70042400,201501,11,0.77,2015-01-18,4,4,70.00,80.00,50.00,50.00,5.00,6.54,2.98,6.78,2.72,0.00,6.00,7.12,1.56,7.40,1.77,0.00,,1,2.00,1.00,,,0,,,,,,10.00,13.00,5.00,5.00,1.00,1.00,100.00,3.00,-5.00,5.00,,,,,,,,,,,,,,,44.00,0.00,0.00,0.00,3.00,,,,0,3.00,,1.00,8.00,64.40
70042457,201501,12,0.99,2015-01-05,3,3,0.00,50.00,0.00,16.00,0.00,1.00,0.33,1.00,1.00,0.00,0.00,1.00,0.33,1.00,1.00,0.00,,1,2.00,0.00,0.00,0.00,0,,,,,,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,4.00,,,,,,,,,,,,,,,49.00,0.00,0.00,0.00,3.00,,,,0,0.00,1.00,0.00,3.00,19.00
70042494,201501,11,0.49,2015-01-04,4,4,0.00,50.00,20.00,80.00,3.00,3.00,0.33,3.00,1.00,0.00,2.00,1.00,0.33,1.00,1.00,0.00,,0,,,,,0,,,,0.00,0.00,,3.00,-50.00,5.00,4.00,4.00,0.00,3.00,3.00,5.00,,,,,,,,,,,,,,,64.00,0.00,0.00,0.00,4.00,,,,0,0.00,,0.00,7.00,53.10
70042497,201501,12,0.53,2015-01-04,3,2,21.00,25.00,16.00,50.00,1.00,1.10,0.70,1.11,1.19,10.00,1.00,1.00,0.85,1.00,1.32,15.00,,1,1.00,0.00,10.00,15.00,0,,,,,,2.00,3.00,10.00,2.00,3.00,3.00,5.00,7.00,3.00,2.00,,,,,,,,,,,,,,,40.00,1.00,0.00,0.00,4.00,,,,0,2.00,1.00,1.00,8.00,64.40
70042667,201501,12,0.53,2015-01-12,2,3,20.00,40.00,2.00,15.00,6.00,5.08,1.43,5.08,1.71,0.00,6.00,5.08,1.43,5.08,1.71,0.00,,1,1.00,0.00,50.00,30.00,0,,,,,,0.00,0.00,10.00,15.00,1.00,2.00,50.00,10.00,5.00,20.00,,,,,,,,,,,,,,,48.00,1.00,0.00,0.00,4.00,,,,0,2.00,1.00,0.00,5.00,36.40
70042697,201501,12,2.22,2015-01-05,3,4,1.00,10.00,11.00,20.00,10.00,13.16,78.31,11.82,13.75,0.00,20.00,12.00,2.67,12.00,2.34,0.00,,0,,,,,0,,,,0.00,1.00,,10.00,15.00,5.00,2.00,2.00,5.00,20.00,20.00,30.00,,,,,,,,,,,,,,,65.00,0.00,0.00,1.00,2.00,,,,0,0.00,,1.00,4.00,27.80
70042705,201501,11,0.65,2015-01-03,3,3,100.00,0.00,100.00,100.00,5.00,2.82,18.46,2.47,7.18,31.86,5.00,1.35,30.87,1.88,8.90,39.47,,1,3.00,0.00,5.00,40.00,0,,,,,,10.00,50.00,25.00,10.00,3.00,3.00,10.00,2.00,5.00,15.00,,,,,,,,,,,,,,,57.00,1.00,0.00,0.00,4.00,,,,0,0.00,1.00,0.00,8.00,64.40
