userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70055138,201601,10,3.54,2016-01-30,3,3,10.00,50.00,80.00,50.00,20.00,14.32,6.67,14.32,3.70,0.00,20.00,16.94,13.33,16.94,5.24,0.00,,1,1.00,0.00,10.00,10.00,0,,,,,,5.00,10.00,5.00,5.00,2.00,2.00,50.00,20.00,10.00,30.00,,,,,,,,,,,,,,,30.00,1.00,0.00,0.00,2.00,,,,0,3.00,1.00,1.00,4.00,26.60
70055145,201601,10,0.59,2016-01-24,3,3,45.00,55.00,65.00,55.00,1.70,2.05,1.84,1.81,1.94,0.00,3.00,2.93,1.52,2.84,1.77,0.00,,1,1.00,0.00,75.00,80.00,0,,,,,,1.00,-3.00,-10.00,4.00,4.00,3.00,25.00,3.50,-1.00,5.00,,,,,,,,,,,,,,,52.00,0.00,0.00,0.00,3.00,,,,0,0.00,1.00,1.00,8.00,62.80
70055162,201601,11,0.93,2016-01-29,3,3,50.00,10.00,1.00,5.00,15.00,4.00,0.67,4.00,1.17,0.00,10.00,,,,,,,1,1.00,0.00,10.00,30.00,0,,,,,,3.00,5.00,2.00,2.00,4.00,3.00,61.00,7.00,5.00,10.00,,,,,,,,,,,,,,,47.00,1.00,0.00,1.00,3.00,,,,0,2.00,1.00,0.00,6.00,42.70
70055174,201601,12,1.03,2016-01-18,3,3,40.00,25.00,75.00,60.00,1.50,1.38,0.32,1.38,0.81,0.00,2.00,1.55,0.40,1.55,0.91,0.00,,0,,,,,0,,,,0.00,0.00,,1.00,5.00,2.00,3.00,3.00,0.00,1.50,2.00,5.00,,,,,,,,,,,,,,,70.00,0.00,0.00,0.00,4.00,,,,0,0.00,,1.00,9.00,76.60
70055272,201601,12,1.09,2016-01-15,3,3,0.00,25.00,5.00,10.00,2.00,0.00,15.65,-0.00,5.37,50.00,3.00,0.00,15.65,-0.00,5.37,50.00,,0,,,,,0,,,,0.00,0.00,,-10.00,2.00,2.00,3.00,3.00,0.00,1.00,1.00,10.00,,,,,,,,,,,,,,,68.00,0.00,0.00,0.00,3.00,,,,0,0.00,,1.00,8.00,62.80
70055283,201601,12,0.48,2016-01-22,5,4,25.00,25.00,15.00,5.00,2.00,1.49,2.79,1.34,2.42,20.79,2.00,2.14,3.73,1.94,2.73,13.44,,1,2.00,0.00,5.00,10.00,0,,,,,,5.00,5.00,1.00,2.00,3.00,3.00,25.00,10.00,15.00,5.00,,,,,,,,,,,,,,,25.00,0.00,0.00,0.00,4.00,,,,0,0.00,1.00,1.00,8.00,62.80
70055285,201601,11,0.45,2016-01-30,4,3,75.00,25.00,20.00,20.00,1.50,0.70,0.67,0.72,1.13,20.05,1.50,0.70,0.67,0.72,1.13,20.05,,1,1.00,0.00,2.00,75.00,0,,,,,,2.00,2.00,1.50,1.00,3.00,3.00,1.00,2.50,1.50,3.00,,,,,,,,,,,,,,,41.00,1.00,0.00,0.00,4.00,,,,0,0.00,1.00,0.00,7.00,51.40
70055312,201601,11,1.07,2016-01-31,4,2,25.00,15.00,25.00,35.00,-35.00,-25.00,56.33,-25.00,13.00,100.00,-35.00,-25.00,56.33,-25.00,13.00,100.00,,1,1.00,0.00,50.00,25.00,0,,,,,,0.00,1.00,25.00,15.00,3.00,3.00,50.00,25.00,25.00,-10.00,,,,,,,,,,,,,,,52.00,0.00,0.00,0.00,3.00,,,,0,0.00,1.00,1.00,4.00,26.60
70055342,201601,12,0.46,2016-01-21,5,4,20.00,20.00,30.00,30.00,4.00,4.00,0.67,4.00,1.17,0.00,3.00,2.19,0.55,2.19,1.06,0.00,,1,2.00,0.00,50.00,50.00,0,,,,,,3.00,5.00,2.00,2.00,3.00,4.00,20.00,5.00,5.00,2.00,,,,,,,,,,,,,,,58.00,1.00,0.00,0.00,4.00,,,,0,0.00,1.00,0.00,6.00,42.70
70055387,201601,12,1.39,2016-01-14,3,3,20.00,50.00,50.00,50.00,0.00,1.00,1.69,1.00,2.00,25.00,0.00,1.00,1.69,1.00,2.00,25.00,,1,1.00,0.00,2.00,10.00,0,,,,,,2.00,2.00,-1.00,1.00,3.00,3.00,31.00,-2.00,2.00,5.00,,,,,,,,,,,,,,,28.00,1.00,0.00,0.00,3.00,,,,0,0.00,1.00,0.00,2.00,9.80
