userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70016297,201401,12,0.97,2014-01-07,4,4,1.00,90.00,10.00,90.00,5.00,5.92,1.47,5.87,1.70,0.00,7.00,10.18,2.30,10.57,2.04,0.00,,1,1.00,0.00,1.00,2.00,0,,,,,,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,5.00,,,,,,,,,,,,,,,29.00,0.00,0.00,0.00,4.00,,,,0,1.00,,,9.00,78.70
70016329,201401,10,4.46,2014-01-02,3,3,0.00,90.00,0.00,0.00,85.00,6.00,1.33,6.00,2.00,0.00,-70.00,6.00,1.33,6.00,2.00,0.00,,1,1.00,0.00,0.00,0.00,0,,,,,,2.00,1.00,5.00,5.00,1.00,1.00,0.00,80.00,50.00,100.00,,,,,,,,,,,,,,,43.00,1.00,0.00,0.00,2.00,,,,0,1.00,,,8.00,65.50
70016366,201401,12,0.60,2014-01-07,4,4,0.00,20.00,40.00,80.00,2.50,1.63,0.44,1.63,0.96,0.00,2.00,1.46,0.36,1.46,0.86,0.00,,1,2.00,0.00,30.00,0.00,0,,,,,,2.00,2.00,1.00,0.00,3.00,4.00,0.00,2.00,6.00,2.00,,,,,,,,,,,,,,,30.00,0.00,0.00,0.00,4.00,,,,0,1.00,,,9.00,78.70
70016375,201401,12,0.72,2014-01-16,3,4,95.00,50.00,55.00,55.00,-1.50,0.95,8.36,0.56,4.22,42.85,1.00,1.46,9.48,1.11,4.57,36.83,,1,1.00,0.00,0.00,95.00,0,,,,,,10.00,8.00,5.00,10.00,4.00,4.00,0.00,9.00,5.00,-0.20,,,,,,,,,,,,,,,28.00,1.00,0.00,0.00,4.00,,,,0,1.00,,,8.00,65.50
70016445,201401,10,0.48,2014-01-19,4,4,10.00,60.00,30.00,70.00,-3.00,2.98,0.59,2.95,1.07,0.00,-2.00,1.00,0.33,1.00,1.00,0.00,,0,,,,,0,,,,,,,20.00,5.00,3.00,2.00,2.00,5.00,6.00,3.00,2.00,,,,,,,,,,,,,,,47.00,0.00,1.00,0.00,4.00,,,,0,2.00,,,4.00,28.70
70016479,201401,12,5.03,2014-01-03,3,3,0.00,50.00,45.00,60.00,48.00,,,,,,-48.00,,,,,,,0,,,,,0,,,,0.00,0.00,,5.00,5.00,8.00,2.00,2.00,0.00,15.00,10.00,30.00,,,,,,,,,,,,,,,68.00,1.00,0.00,0.00,2.00,,,,0,2.00,,,3.00,19.60
70016536,201401,12,0.54,2014-01-03,2,2,1.00,60.00,10.00,40.00,3.00,3.22,3.91,3.14,2.68,4.36,4.00,3.71,6.76,3.96,3.62,9.17,,1,1.00,0.00,5.00,10.00,0,,,,,,3.00,-12.00,2.00,8.00,2.00,2.00,1.00,-2.00,-2.00,5.00,,,,,,,,,,,,,,,62.00,0.00,0.00,0.00,4.00,,,,0,2.00,,,7.00,54.30
70016563,201401,9,0.81,2014-01-07,3,3,30.00,50.00,50.00,50.00,1.00,0.14,3.81,0.14,2.74,47.19,1.00,0.40,13.66,0.42,5.31,45.77,,1,1.00,0.00,15.00,15.00,0,,,,,,3.00,4.00,4.00,2.00,3.00,3.00,5.00,-2.00,-2.00,-2.00,,,,,,,,,,,,,,,31.00,0.00,0.00,0.00,4.00,,,,0,2.00,,,10.00,88.40
70016606,201401,12,0.55,2014-01-02,3,3,75.00,50.00,90.00,25.00,6.00,4.00,4.10,4.00,3.29,0.00,3.00,4.00,4.10,4.00,3.29,0.00,,1,1.00,0.00,5.00,2.00,0,,,,,,-10.00,-10.00,15.00,15.00,2.00,2.00,1.00,-15.00,-15.00,15.00,,,,,,,,,,,,,,,46.00,0.00,0.00,0.00,4.00,,,,0,1.00,,,7.00,54.30
70016615,201401,11,0.60,2014-01-17,3,2,10.00,25.00,50.00,50.00,2.00,2.14,6.24,1.92,4.02,24.41,3.00,2.14,6.24,1.92,4.02,24.41,,1,1.00,0.00,5.00,75.00,0,,,,,,5.00,-50.00,10.00,25.00,2.00,2.00,6.00,5.00,4.00,5.00,,,,,,,,,,,,,,,32.00,0.00,0.00,0.00,4.00,,,,0,1.00,,,4.00,28.70
