userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70079657,201801,12,0.55,2018-01-14,3,3,20.00,35.00,60.00,60.00,3.00,2.79,0.81,2.74,1.26,0.00,3.00,2.79,0.81,2.74,1.26,0.00,,1,2.00,1.00,,,0,,,,,,0.00,0.00,3.00,-10.00,2.00,2.00,20.00,5.00,5.00,5.00,,,,,,,,,,,,,,,66.00,0.00,0.00,0.00,4.00,,,2.00,0,0.00,,0.00,3.00,16.40
70079665,201801,12,1.32,2018-01-30,4,4,9.00,50.00,24.00,65.00,3.00,2.62,2.39,2.42,2.29,0.00,3.00,2.62,2.39,2.42,2.29,0.00,,1,1.00,0.00,19.00,36.00,0,,,,,,4.00,4.00,3.50,2.00,3.00,3.00,0.00,3.70,2.50,1.50,,,,,,,,,,,,,,,53.00,1.00,0.00,0.00,3.00,,,5.00,0,0.00,1.00,0.00,9.00,74.10
70079675,201801,9,0.67,2018-01-26,3,3,2.00,50.00,10.00,50.00,5.00,6.09,6.20,5.86,4.00,0.00,5.00,6.09,6.20,5.86,4.00,0.00,,1,1.00,0.00,3.00,2.00,0,,,,,,5.00,4.00,4.00,2.00,3.00,3.00,2.00,8.00,8.00,10.00,,,,,,,,,,,,,,,60.00,0.00,0.00,0.00,3.00,,,4.00,0,2.00,1.00,0.00,6.00,39.80
70079695,201801,12,0.87,2018-01-16,3,3,1.00,56.00,15.00,25.00,5.00,3.93,15.98,3.91,6.46,20.03,5.00,4.70,17.30,4.25,6.60,14.70,,1,1.00,0.00,5.00,1.00,0,,,,,,0.00,0.00,1.00,-2.00,3.00,3.00,2.00,2.00,4.00,7.00,,,,,,,,,,,,,,,46.00,0.00,0.00,0.00,3.00,,,2.00,0,4.00,1.00,1.00,4.00,24.40
70079717,201801,12,0.56,2018-01-10,3,4,4.00,44.00,50.00,56.00,2.00,2.46,8.59,2.34,3.99,20.62,-2.00,2.21,21.20,1.89,6.33,33.92,,1,3.00,1.00,,,0,,,,,,100.00,25.00,14.00,5.00,2.00,3.00,6.00,4.00,2.00,-22.00,,,,,,,,,,,,,,,45.00,1.00,0.00,0.00,4.00,,,5.00,0,0.00,,1.00,2.00,9.00
70079757,201801,11,0.70,2018-01-28,3,2,10.00,15.00,5.00,10.00,4.00,4.00,4.10,4.00,3.29,0.00,3.00,3.26,1.90,3.19,2.02,0.00,,1,1.00,0.00,15.00,10.00,0,,,,,,2.00,2.00,30.00,15.00,3.00,3.00,0.00,3.00,-2.00,7.00,,,,,,,,,,,,,,,50.00,0.00,0.00,0.00,4.00,,,5.00,0,2.00,1.00,1.00,11.00,95.80
70079803,201801,12,0.85,2018-01-06,2,4,0.00,60.00,20.00,80.00,0.00,1.00,0.33,1.00,1.00,0.00,2.00,3.00,0.33,3.00,1.00,0.00,,1,1.00,0.00,30.00,20.00,0,,,,,,0.00,0.00,5.00,25.00,2.00,2.00,100.00,30.00,5.00,50.00,,,,,,,,,,,,,,,64.00,1.00,0.00,0.00,3.00,,,1.00,0,0.00,1.00,0.00,2.00,9.00
70079818,201801,12,0.80,2018-01-28,3,3,0.00,5.00,10.00,15.00,5.00,4.81,5.05,4.67,3.33,0.00,4.00,4.00,2.23,4.00,2.22,0.00,,1,1.00,0.00,5.00,5.00,0,,,,,,2.00,2.00,10.00,3.00,2.00,2.00,3.00,6.00,3.00,20.00,,,,,,,,,,,,,,,48.00,0.00,0.00,0.00,3.00,,,2.00,0,3.00,1.00,1.00,6.00,39.80
70079853,201801,12,0.69,2018-01-03,4,3,50.00,3.00,6.00,30.00,3.00,2.79,0.81,2.74,1.26,0.00,2.00,1.46,0.36,1.46,0.86,0.00,,0,,,,,0,,,,0.00,0.00,,4.00,7.00,3.00,4.00,5.00,0.00,4.00,2.00,8.00,,,,,,,,,,,,,,,65.00,0.00,0.00,0.00,4.00,,,3.00,0,0.00,,1.00,9.00,74.10
70079894,201801,12,1.32,2018-01-14,5,4,80.00,20.00,70.00,80.00,2.00,1.39,1.05,1.43,1.50,10.00,3.00,2.42,1.31,2.30,1.62,0.00,,0,,,,,0,,,,20.00,10.00,,7.00,-15.00,-10.00,4.00,4.00,0.00,5.00,8.00,2.00,,,,,,,,,,,,,,,58.00,0.00,1.00,0.00,3.00,,,5.00,0,1.00,,1.00,10.00,85.50
