userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70091925,201901,12,0.94,2019-01-05,3,3,20.00,35.00,35.00,55.00,2.00,1.79,2.25,1.71,2.14,11.81,2.00,1.64,2.20,1.54,2.12,14.05,,0,,,,,0,,,,3.00,2.00,,0.00,1.00,2.00,3.00,3.00,0.00,4.00,4.00,3.00,,,,,,,,,,,,,,,76.00,0.00,0.00,0.00,3.00,,,2.00,0,0.00,,1.00,7.00,46.90
70092006,201901,9,0.59,2019-01-22,4,5,10.00,15.00,25.00,80.00,2.00,1.43,0.93,1.44,1.31,7.20,1.00,1.26,0.52,1.30,0.98,5.01,,0,,,,,0,,,,2.00,2.00,,2.00,-10.00,-5.00,2.00,3.00,0.00,-10.00,10.00,-10.00,,,,,,,,,,,,,,,68.00,0.00,0.00,0.00,4.00,,,4.00,0,1.00,,1.00,5.00,31.10
70092078,201901,12,0.57,2019-01-27,3,3,100.00,30.00,40.00,1.00,3.00,1.00,1.69,1.00,2.00,25.00,2.00,1.00,1.69,1.00,2.00,25.00,,1,2.00,0.00,49.00,30.00,0,,,,,,0.00,0.00,-2.00,-2.00,2.00,2.00,0.00,2.00,1.00,3.00,,,,,,,,,,,,,,,67.00,1.00,0.00,0.00,4.00,,,1.00,0,0.00,1.00,0.00,4.00,23.40
70092161,201901,12,0.84,2019-01-18,3,2,1.00,1.00,1.00,1.00,1.00,1.19,0.24,1.21,0.67,1.00,1.00,1.19,0.24,1.21,0.67,1.00,,0,,,,,0,,,,,,,-35.00,1.00,0.00,3.00,3.00,90.00,1.00,1.00,-1.00,,,,,,,,,,,,,,,40.00,1.00,0.00,0.00,3.00,,,2.00,0,1.00,,0.00,3.00,15.80
70092211,201901,12,0.93,2019-01-23,3,3,0.00,0.00,0.00,80.00,2.00,2.97,0.37,2.95,0.83,0.00,3.00,2.97,0.37,2.95,0.83,0.00,,0,,,,,0,,,,0.00,0.00,,2.00,2.00,3.00,4.00,4.00,0.00,5.00,10.00,5.00,,,,,,,,,,,,,,,72.00,0.00,0.00,0.00,3.00,,,2.00,0,0.00,,1.00,7.00,46.90
70092215,201901,11,0.70,2019-01-22,3,3,50.00,50.00,90.00,25.00,3.00,3.05,1.88,2.95,2.00,0.00,3.00,3.05,1.88,2.95,2.00,0.00,,0,,,,,0,,,,0.00,0.00,,0.00,0.00,5.00,2.00,2.00,0.00,5.00,3.00,5.00,,,,,,,,,,,,,,,71.00,0.00,0.00,0.00,4.00,,,1.00,0,0.00,,1.00,9.00,72.70
70092256,201901,12,0.57,2019-01-28,3,3,50.00,20.00,10.00,10.00,8.00,9.56,3.60,10.00,2.71,0.00,5.00,6.17,4.19,6.19,2.99,0.00,,1,2.00,0.00,5.00,80.00,0,,,,,,2.00,2.00,1.00,2.00,3.00,3.00,50.00,5.00,2.00,5.00,,,,,,,,,,,,,,,60.00,1.00,0.00,0.00,4.00,,,3.00,0,0.00,1.00,1.00,6.00,38.40
70092273,201901,12,0.67,2019-01-24,2,2,1.00,50.00,60.00,40.00,4.00,3.57,2.43,3.42,2.19,0.00,4.00,3.78,2.29,3.65,2.12,0.00,,0,,,,,0,,,,10.00,10.00,,-10.00,-5.00,-5.00,3.00,2.00,10.00,6.00,5.00,15.00,,,,,,,,,,,,,,,63.00,0.00,0.00,0.00,4.00,,,6.00,0,0.00,,1.00,5.00,31.10
70092295,201901,9,0.86,2019-01-21,3,3,20.00,19.00,20.00,20.00,1.70,-0.81,10.96,-0.23,4.93,52.51,1.80,-0.81,10.96,-0.23,4.93,52.51,,0,,,,,0,,,,,,,1.70,2.00,3.00,3.00,3.00,50.00,10.00,10.00,5.70,,,,,,,,,,,,,,,44.00,1.00,0.00,0.00,3.00,,,4.00,0,3.00,,0.00,3.00,15.80
70092335,201901,12,0.70,2019-01-25,4,3,10.00,30.00,40.00,20.00,3.50,3.02,1.29,2.95,1.61,0.00,5.00,5.59,3.00,5.45,2.53,0.00,,1,1.00,0.00,10.00,35.00,0,,,,,,2.00,3.00,2.50,2.00,3.00,2.00,0.00,5.00,5.00,5.00,,,,,,,,,,,,,,,63.00,0.00,0.00,0.00,4.00,,,3.00,0,0.00,1.00,1.00,10.00,84.60
70092427,201901,12,1.22,2019-01-14,5,4,10.00,30.00,40.00,50.00,3.00,3.20,0.87,3.16,1.31,0.00,3.00,3.20,0.87,3.16,1.31,0.00,,1,1.00,0.00,20.00,19.00,0,,,,,,4.00,3.00,2.00,10.00,4.00,3.00,0.00,5.00,5.00,5.00,,,,,,,,,,,,,,,54.00,1.00,0.00,0.00,3.00,,,6.00,0,0.00,1.00,1.00,9.00,72.70
70092454,201901,12,0.88,2019-01-26,3,3,5.00,65.00,40.00,20.00,2.00,1.20,0.81,1.21,1.29,10.00,1.00,1.20,1.65,1.24,1.97,20.00,,1,1.00,0.00,5.00,20.00,0,,,,,,2.00,2.00,-1.00,5.00,3.00,3.00,0.00,-4.00,2.00,10.00,,,,,,,,,,,,,,,55.00,1.00,1.00,0.00,4.00,,,5.00,0,0.00,1.00,1.00,10.00,84.60
70092473,201901,11,0.88,2019-01-21,4,4,6.00,50.00,55.00,60.00,3.00,1.81,25.16,2.47,6.85,32.39,3.00,1.71,25.79,2.53,6.89,32.33,,1,1.00,0.00,20.00,35.00,0,,,,,,5.00,8.00,5.00,-3.00,3.00,3.00,5.00,3.00,3.00,-2.00,,,,,,,,,,,,,,,57.00,0.00,0.00,0.00,4.00,,,5.00,0,0.00,1.00,1.00,11.00,95.50
70092574,201901,12,0.77,2019-01-03,3,3,50.00,30.00,5.00,30.00,5.00,7.35,36.47,5.82,8.21,0.00,10.00,7.35,36.47,5.82,8.21,0.00,,1,2.00,0.00,19.00,58.00,0,,,,,,10.00,10.00,10.00,10.00,3.00,3.00,11.00,10.00,10.00,-2.00,,,,,,,,,,,,,,,50.00,1.00,0.00,0.00,3.00,,,5.00,0,1.00,1.00,1.00,6.00,38.40
70092580,201901,9,0.58,2019-01-23,4,4,7.00,24.00,91.00,81.00,2.00,2.78,4.81,2.26,3.10,0.00,2.00,3.56,13.35,3.08,4.95,16.52,,1,1.00,0.00,6.00,9.00,0,,,,,,15.00,10.00,10.00,5.00,4.00,4.00,7.00,3.00,2.00,5.00,,,,,,,,,,,,,,,24.00,0.00,0.00,0.00,4.00,,,5.00,0,0.00,1.00,1.00,7.00,46.90
70092864,201901,12,0.63,2019-01-18,5,3,20.00,75.00,20.00,10.00,2.00,1.17,7.01,1.58,4.19,32.30,-2.00,-0.66,11.55,-0.22,4.58,52.56,,1,1.00,0.00,2.00,20.00,0,,,,,,3.00,3.00,2.00,3.00,3.00,3.00,6.00,-3.00,3.00,4.00,,,,,,,,,,,,,,,28.00,1.00,0.00,0.00,4.00,,,2.00,0,0.00,1.00,0.00,8.00,58.20
