userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70067380,201701,12,0.50,2017-01-07,3,2,40.00,60.00,60.00,30.00,2.00,2.00,0.67,2.00,1.17,0.00,3.00,3.00,0.33,3.00,1.00,0.00,,0,1.00,0.00,100.00,100.00,0,,,,,,-15.00,-50.00,-10.00,5.00,4.00,4.00,0.00,10.00,5.00,10.00,,,,,,,,,,,,,,,71.00,0.00,0.00,0.00,4.00,,,6.00,0,0.00,0.00,1.00,7.00,50.00
70067395,201701,12,0.58,2017-01-24,5,3,0.00,50.00,30.00,30.00,5.00,4.00,0.67,4.00,1.17,0.00,5.00,4.00,0.67,4.00,1.17,0.00,,1,2.00,0.00,0.00,0.00,0,,,,,,0.00,1.00,5.00,1.00,3.00,3.00,0.00,5.00,5.00,10.00,,,,,,,,,,,,,,,56.00,1.00,0.00,0.00,4.00,,,1.00,0,0.00,1.00,1.00,11.00,96.00
70067465,201701,12,0.53,2017-01-24,4,3,69.00,60.00,69.00,65.00,2.00,0.27,15.98,0.81,6.42,43.67,4.00,-3.91,32.00,-4.22,9.45,71.66,,1,1.00,0.00,0.00,0.00,0,,,,,,2.00,4.00,4.00,5.00,4.00,2.00,0.00,6.00,5.00,6.00,,,,,,,,,,,,,,,24.00,1.00,0.00,0.00,4.00,,,4.00,0,1.00,1.00,0.00,6.00,41.40
70067537,201701,12,0.98,2017-01-13,2,2,1.00,5.00,2.00,4.00,6.00,3.27,6.08,3.08,3.61,8.77,5.00,3.27,6.08,3.08,3.61,8.77,,1,1.00,0.00,1.00,1.00,0,,,,,,1.00,1.00,5.00,1.00,2.00,2.00,5.00,9.00,8.00,5.00,,,,,,,,,,,,,,,40.00,1.00,1.00,0.00,3.00,,,4.00,0,2.00,1.00,1.00,2.00,9.50
70067540,201701,12,0.79,2017-01-15,5,3,99.00,50.00,49.00,50.00,1.00,1.46,0.36,1.46,0.86,0.00,1.00,1.46,0.36,1.46,0.86,0.00,,1,1.00,0.00,1.00,90.00,0,,,,,,5.00,5.00,4.00,1.00,4.00,4.00,3.00,5.00,3.00,1.00,,,,,,,,,,,,,,,28.00,0.00,0.00,0.00,4.00,,,5.00,0,0.00,1.00,0.00,6.00,41.40
70067561,201701,10,0.61,2017-01-26,2,4,1.00,29.00,10.00,19.00,12.00,2.59,60.06,4.15,11.59,33.32,10.00,2.94,53.82,4.38,11.04,31.72,,1,1.00,0.00,1.00,1.00,0,,,,,,3.00,3.00,2.00,1.50,3.00,3.00,7.00,12.00,10.00,3.00,,,,,,,,,,,,,,,38.00,1.00,0.00,1.00,4.00,,,4.00,0,3.00,1.00,1.00,9.00,75.40
70067614,201701,7,0.59,2017-01-20,4,4,5.00,40.00,55.00,60.00,-2.00,0.00,14.11,-0.00,5.10,50.00,3.00,0.79,3.18,0.71,2.55,35.20,,1,1.00,0.00,1.00,30.00,0,,,,,,2.00,2.00,10.00,3.00,3.00,4.00,0.00,5.00,4.00,-3.00,,,,,,,,,,,,,,,48.00,1.00,0.00,0.00,4.00,,,3.00,0,1.00,1.00,0.00,8.00,61.40
70067623,201701,11,0.42,2017-01-22,4,3,30.00,25.00,51.00,58.00,2.00,1.35,2.72,1.46,2.77,25.00,3.00,1.69,2.37,1.88,2.49,17.33,,1,1.00,0.00,5.00,1.00,0,,,,,,3.00,3.00,7.00,0.00,3.00,4.00,1.00,4.00,5.00,10.00,,,,,,,,,,,,,,,52.00,0.00,0.00,0.00,4.00,,,6.00,0,0.00,1.00,0.00,7.00,50.00
70067649,201701,12,0.77,2017-01-23,3,3,10.00,50.00,20.00,50.00,2.00,4.82,9.90,4.46,5.16,0.00,2.00,4.82,9.90,4.46,5.16,0.00,,1,1.00,0.00,20.00,20.00,0,,,,,,2.00,3.00,2.00,1.00,2.00,2.00,75.00,2.00,1.00,-2.00,,,,,,,,,,,,,,,38.00,1.00,0.00,0.00,3.00,,,4.00,0,3.00,1.00,1.00,8.00,61.40
70067657,201701,10,0.81,2017-01-22,3,3,0.00,50.00,10.00,50.00,-10.00,-3.00,0.33,-3.00,1.00,100.00,-10.00,-6.00,1.33,-6.00,2.00,100.00,,0,,,,,0,,,,0.00,0.00,,3.00,-3.00,-4.00,3.00,2.00,50.00,5.00,5.00,-10.00,,,,,,,,,,,,,,,63.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,,0.00,2.00,9.50
