userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
75003044,202301,12,0.59,2023-01-25,2,2,5.00,20.00,10.00,30.00,9.00,8.38,13.94,8.79,6.14,0.00,-3.00,-2.61,1.04,-2.54,1.44,100.00,-2.00,1,2.00,0.00,10.00,50.00,0,,,,,,3.00,3.00,8.00,7.00,2.00,2.00,10.00,15.00,7.00,10.00,,,,,,,,,,,,,,,52.00,0.00,0.00,1.00,4.00,,,4.00,0,3.00,1.00,1.00,8.00,50.90
75003189,202301,12,0.73,2023-01-07,4,4,5.00,60.00,60.00,70.00,3.00,3.00,16.44,2.79,5.56,24.09,2.00,1.37,18.35,1.35,5.83,37.73,2.00,1,1.00,0.00,5.00,5.00,0,,,,,,4.00,4.00,4.00,4.00,3.00,3.00,5.00,3.00,2.00,5.00,,,,,,,,,,,,,,,59.00,0.00,0.00,0.00,4.00,,,4.00,0,1.00,1.00,1.00,9.00,66.20
75003438,202301,12,0.59,2023-01-22,2,3,30.00,50.00,30.00,30.00,5.50,5.00,9.29,5.35,4.98,7.03,5.00,6.89,11.33,6.19,4.43,0.00,6.00,1,2.00,0.00,1.00,5.00,0,,,,,,1.00,5.00,0.00,5.00,3.00,3.00,0.00,2.00,5.00,20.00,,,,,,,,,,,,,,,59.00,1.00,0.00,0.00,4.00,,,2.00,0,2.00,1.00,1.00,8.00,50.90
75003459,202301,12,0.75,2023-01-03,2,3,9.00,50.00,19.00,43.00,5.00,4.00,2.23,4.00,2.22,0.00,3.00,1.85,1.65,2.00,1.96,10.00,,0,,,,,0,,,,,,,5.00,5.00,0.00,2.00,3.00,10.00,3.00,3.00,5.00,,,,,,,,,,,,,,,62.00,1.00,0.00,0.00,4.00,,,4.00,0,0.00,,0.00,4.00,19.20
75003531,202301,12,0.69,2023-01-21,2,4,1.00,22.00,70.00,50.00,4.00,2.06,2.87,2.06,2.41,11.97,3.00,2.13,3.47,2.14,2.68,13.72,1.00,0,,,,,0,,,,2.00,1.00,,-10.00,2.00,-2.00,3.00,3.00,1.00,-2.00,1.00,2.00,,,,,,,,,,,,,,,70.00,0.00,0.00,0.00,4.00,,,3.00,0,0.00,,0.00,8.00,50.90
75003605,202301,12,0.68,2023-01-30,4,5,0.00,3.00,20.00,20.00,-3.00,-1.44,2.20,-1.55,2.38,80.00,-5.00,-2.62,2.39,-2.42,2.29,100.00,-3.00,0,,,,,0,,,,,,,20.00,-10.00,-5.00,2.00,3.00,0.00,-2.00,3.00,-10.00,,,,,,,,,,,,,,,69.00,0.00,0.00,0.00,4.00,,,3.00,0,0.00,,1.00,7.00,39.90
75003675,202301,12,0.90,2023-01-13,2,4,0.00,40.00,40.00,50.00,4.00,4.44,4.17,4.16,2.72,0.00,-5.00,-1.74,5.13,-1.85,3.22,77.27,-5.00,0,,,,,0,,,,0.00,1.00,,2.00,10.00,-5.00,2.00,2.00,1.00,5.00,5.00,2.00,,,,,,,,,,,,,,,72.00,1.00,0.00,0.00,4.00,,,5.00,0,0.00,,0.00,9.00,66.20
75003739,202301,12,1.22,2023-01-04,3,4,0.00,7.00,5.00,12.00,5.00,6.00,1.33,6.00,2.00,0.00,-3.00,3.00,0.33,3.00,1.00,0.00,-8.00,0,,,,,1,100.00,40.00,6.00,,,,40.00,40.00,5.00,3.00,3.00,50.00,-5.00,-3.00,7.00,,,,,,,,,,,,,,,53.00,1.00,0.00,0.00,3.00,,,6.00,0,0.00,,1.00,9.00,66.20
75003762,202301,12,0.40,2023-01-16,2,3,0.00,60.00,70.00,10.00,-1.00,1.00,0.33,1.00,1.00,0.00,3.00,3.00,0.33,3.00,1.00,0.00,2.00,1,1.00,0.00,10.00,40.00,0,,,,,,5.00,5.00,10.00,2.00,2.00,3.00,0.00,-10.00,10.00,6.00,,,,,,,,,,,,,,,38.00,0.00,0.00,0.00,4.00,,,5.00,0,3.00,1.00,1.00,8.00,50.90
75003962,202301,11,0.80,2023-01-11,3,3,2.00,90.00,70.00,50.00,5.00,4.77,5.31,4.75,3.34,1.23,3.00,2.99,2.60,2.96,2.23,2.76,2.50,0,,,,,0,,,,15.00,7.00,,0.00,0.00,5.00,1.00,2.00,3.00,-2.00,3.00,10.00,,,,,,,,,,,,,,,52.00,0.00,0.00,0.00,4.00,,,5.00,0,3.00,,1.00,11.00,94.00
