userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70000220,201306,6,16.33,2013-06-04,3,3,50.00,20.00,10.00,15.00,10.00,-0.50,212.13,-0.50,25.22,51.00,10.00,0.50,212.13,0.50,25.22,49.00,,0,,,,,0,,,,33.00,33.00,,-5.00,10.00,12.00,3.00,3.00,30.00,8.00,13.00,14.00,550.00,0.00,20.00,0.00,100.00,0.00,100.00,1.00,5.00,1.00,,,,,28.00,1.00,0.00,1.00,3.00,0.00,,,0,,,0.00,3.00,20.10
70000224,201306,7,0.23,2013-06-03,4,4,25.00,10.00,25.00,75.00,2.00,2.00,0.67,2.00,1.17,0.00,3.00,2.00,0.67,2.00,1.17,0.00,,0,,,,,0,,,,0.00,0.00,,5.00,2.00,3.00,4.00,4.00,0.00,10.00,10.00,-3.00,550.00,0.00,20.00,0.00,10.00,1.00,100.00,1.00,5.00,1.00,,,,,65.00,0.00,0.00,0.00,4.00,1.00,,,0,,,1.00,11.00,96.90
70000234,201306,6,4.07,2013-06-17,4,3,3.00,9.00,20.00,20.00,5.00,4.00,1.47,4.00,1.74,0.00,3.00,2.54,0.36,2.54,0.86,0.00,,1,1.00,,,,0,,,,,,2.00,6.00,10.00,5.00,3.00,2.00,97.00,3.00,3.00,2.00,550.00,0.00,20.00,0.00,10.00,1.00,100.00,1.00,5.00,1.00,,,,,41.00,1.00,0.00,0.00,3.00,1.00,,,0,,,1.00,9.00,79.60
70000238,201306,6,3.04,2013-06-13,3,3,0.00,10.00,5.00,70.00,1.00,3.00,0.33,3.00,1.00,0.00,4.00,10.00,1.33,10.00,2.00,0.00,,0,,,,,0,,,,0.00,0.00,,10.00,20.00,5.00,4.00,3.00,0.00,5.00,15.00,15.00,65.00,0.00,20.00,0.00,10.00,1.00,1.00,0.00,5.00,1.00,,,,,74.00,0.00,0.00,0.00,3.00,1.00,,,0,,,1.00,5.00,38.20
70000238,201307,7,1.87,2013-07-10,3,3,50.00,90.00,0.00,60.00,10.00,10.00,1.33,10.00,2.00,0.00,12.00,10.00,1.33,10.00,2.00,0.00,,0,,,,,0,,,,0.00,0.00,,4.00,10.00,0.00,4.00,4.00,0.00,10.00,12.00,20.00,,,,,,,,,,,,,,,74.00,0.00,0.00,0.00,3.00,,,,0,,,,5.00,37.40
70000238,201308,8,0.81,2013-08-10,4,3,0.00,85.00,5.00,45.00,80.00,3.00,0.33,3.00,1.00,0.00,80.00,6.00,1.33,6.00,2.00,0.00,,0,,,,,0,,,,0.00,0.00,,1.00,10.00,-5.00,3.00,3.00,0.00,20.00,20.00,-5.00,,,,,,,,,,,,,,,74.00,0.00,0.00,0.00,3.00,,,,0,,,,4.00,28.70
70000238,201309,9,0.77,2013-09-05,3,3,10.00,20.00,0.00,50.00,2.00,3.00,0.33,3.00,1.00,0.00,2.00,3.00,0.33,3.00,1.00,0.00,,0,,,,,0,,,,0.00,0.00,,1.00,2.00,0.00,3.00,3.00,0.00,20.00,20.00,-10.00,,,,,,,,,,,,,,,74.00,0.00,0.00,0.00,3.00,,,,0,,,,4.00,28.70
70000239,201306,7,1.95,2013-06-02,2,3,10.00,20.00,20.00,50.00,10.00,7.78,8.53,8.24,4.60,0.00,6.00,5.19,4.72,5.10,3.20,0.00,,1,2.00,,30.00,80.00,0,,,,,,3.00,-10.00,-10.00,5.00,3.00,4.00,5.00,5.00,10.00,4.00,550.00,0.00,20.00,0.00,10.00,1.00,100.00,1.00,50.00,0.00,,,,,67.00,1.00,0.00,0.00,4.00,0.00,,,0,,,0.00,4.00,29.30
70000239,201307,8,1.15,2013-07-22,2,3,25.00,10.00,15.00,70.00,10.00,9.08,1.43,9.08,1.71,0.00,5.00,5.94,2.30,5.87,2.17,0.00,,1,2.00,,50.00,90.00,0,,,,,,5.00,-20.00,5.00,-25.00,3.00,3.00,5.00,10.00,10.00,-5.00,,,,,,,,,,,,,,,67.00,1.00,0.00,0.00,4.00,,,,0,,,,4.00,28.70
70000239,201308,9,0.45,2013-08-11,2,3,10.00,10.00,15.00,50.00,20.00,14.18,10.44,14.80,4.88,0.00,10.00,9.63,3.88,10.08,2.83,0.00,,1,1.00,0.00,50.00,0.00,0,,,,,,0.00,0.00,0.00,0.00,2.00,2.00,10.00,20.00,20.00,10.00,,,,,,,,,,,,,,,67.00,1.00,0.00,0.00,4.00,,,,0,,,,4.00,28.70
70000239,201309,10,0.41,2013-09-03,2,3,10.00,10.00,15.00,30.00,10.00,8.16,6.55,8.49,4.14,0.00,15.00,11.90,26.60,12.14,8.78,0.00,,1,1.00,0.00,50.00,10.00,0,,,,,,0.00,-10.00,10.00,-30.00,4.00,4.00,5.00,10.00,10.00,5.00,,,,,,,,,,,,,,,67.00,1.00,0.00,0.00,4.00,,,,0,,,,4.00,28.70
70000294,201306,5,4.10,2013-06-08,2,3,1.00,30.00,30.00,40.00,5.00,6.00,1.33,6.00,2.00,0.00,5.00,6.00,1.33,6.00,2.00,0.00,,0,,,,,0,,,,2.00,1.00,,1.00,10.00,-5.00,2.00,2.00,10.00,-5.00,-5.00,8.00,510.00,0.00,20.00,0.00,10.00,1.00,10.00,0.00,1.00,0.00,,,,,33.00,1.00,0.00,0.00,3.00,0.00,,,0,,,1.00,4.00,29.30
70000294,201307,6,2.06,2013-07-03,3,3,0.00,20.00,20.00,,10.00,25.00,56.33,25.00,13.00,0.00,10.00,25.00,56.33,25.00,13.00,0.00,,0,,,,,0,,,,2.00,0.00,,-1.00,-2.00,-4.00,3.00,3.00,10.00,5.00,10.00,10.00,,,,,,,,,,,,,,,33.00,1.00,0.00,0.00,3.00,,,,0,,,,4.00,28.70
70000294,201308,7,0.94,2013-08-01,3,2,1.00,13.00,20.00,20.00,5.00,3.00,0.33,3.00,1.00,0.00,5.00,6.00,1.33,6.00,2.00,0.00,,0,,,,,0,,,,2.00,1.00,,6.00,-5.00,5.00,3.00,3.00,25.00,5.00,5.00,10.00,,,,,,,,,,,,,,,33.00,1.00,0.00,0.00,3.00,,,,0,,,,4.00,28.70
70000295,201306,7,5.91,2013-06-05,3,3,5.00,47.00,18.00,20.00,40.00,7.09,77.11,7.20,12.41,21.84,20.00,6.45,40.40,5.82,8.99,16.26,,1,2.00,,,,0,,,,,,-10.00,-8.00,50.00,-20.00,4.00,3.00,18.00,30.00,40.00,42.00,550.00,0.00,20.00,0.00,10.00,1.00,100.00,1.00,5.00,1.00,,,,,60.00,1.00,0.00,0.00,,0.00,,,0,,,0.00,2.00,11.00
70000312,201306,7,1.88,2013-06-11,4,4,3.00,30.00,80.00,81.00,3.00,3.24,1.41,3.14,1.63,0.00,5.00,4.17,5.12,3.93,3.34,0.00,,1,2.00,,2.00,4.00,0,,,,,,5.00,5.00,5.00,2.00,4.00,4.00,4.00,20.00,30.00,-5.00,550.00,0.00,20.00,0.00,10.00,1.00,100.00,1.00,5.00,1.00,,,,,50.00,0.00,0.00,0.00,4.00,1.00,,,0,,,1.00,11.00,96.90
70000312,201307,8,1.09,2013-07-11,4,4,9.00,10.00,95.00,80.00,4.00,5.11,7.81,4.65,3.72,0.00,8.00,7.87,11.81,7.82,5.93,0.00,,1,1.00,,1.00,3.00,0,,,,,,5.00,8.00,8.00,5.00,2.00,3.00,5.00,20.00,25.00,-10.00,,,,,,,,,,,,,,,50.00,0.00,0.00,0.00,4.00,,,,0,,,,10.00,88.40
70000312,201308,9,0.43,2013-08-02,4,4,5.00,20.00,80.00,80.00,5.00,4.33,6.26,4.05,3.78,0.00,9.00,6.78,14.05,6.66,6.15,0.00,,1,1.00,0.00,3.00,5.00,0,,,,,,5.00,10.00,10.00,5.00,4.00,4.00,10.00,20.00,25.00,5.00,,,,,,,,,,,,,,,50.00,0.00,0.00,0.00,4.00,,,,0,,,,10.00,88.40
70000312,201309,10,0.40,2013-09-04,4,4,6.00,15.00,70.00,70.00,4.00,4.33,6.26,4.05,3.78,0.00,7.00,7.66,9.91,7.16,4.27,0.00,,1,1.00,0.00,5.00,6.00,0,,,,,,5.00,5.00,3.00,3.00,2.00,3.00,5.00,20.00,20.00,5.00,,,,,,,,,,,,,,,50.00,0.00,0.00,0.00,4.00,,,,0,,,,10.00,88.40
70000327,201306,7,5.45,2013-06-02,3,4,30.00,70.00,30.00,60.00,10.00,4.42,15.42,3.31,4.92,0.00,10.00,5.08,19.74,3.86,5.67,0.00,,0,,,,,0,,,,60.00,20.00,,10.00,10.00,,2.00,2.00,0.00,15.00,10.00,20.00,500.00,0.00,20.00,0.00,1.00,0.00,10.00,0.00,5.00,1.00,,,,,58.00,0.00,0.00,0.00,3.00,1.00,,,0,,,1.00,3.00,20.10
70000327,201307,8,3.08,2013-07-01,3,4,0.00,10.00,10.00,,10.00,4.94,16.83,3.87,5.26,0.00,12.00,5.24,20.68,4.00,5.84,0.00,,0,,,,,0,,,,0.00,0.00,,0.00,15.00,0.00,2.00,2.00,0.00,10.00,5.00,15.00,,,,,,,,,,,,,,,58.00,0.00,0.00,0.00,3.00,,,,0,,,,4.00,29.30
